Date,P0Deck,P1Deck,P0EndLife,P1EndLife,P0Time,P1Time,TotalTime,P0TotalCards,P1TotalCards,P0Win,P1Win,P0,P1
2022-11-23,13,14,-4,39,0:09:29,0:14:42,0:24:11,11,14,0,1,0,1
2022-11-23,13,15,-1,12,0:20:11,0:23:00,0:43:11,13,25,0,1,0,1
2022-11-23,15,13,7,-3,0:18:17,0:37:51,0:56:08,22,33,1,0,0,1
2022-12-26,6,3,-3,28,0:06:14,0:11:36,0:17:50,11,17,0,1,0,1
2022-12-26,6,16,-4,36,0:05:33,0:10:54,0:16:27,8,10,0,1,0,1
2022-12-26,6,18,31,-3,0:19:27,0:15:27,0:34:54,19,10,1,0,0,1
2022-12-26,15,4,-1,41,0:07:52,0:21:26,0:29:18,14,22,0,1,0,1
2022-12-26,15,7,0,36,0:06:34,0:22:02,0:28:36,11,25,0,1,0,1
2022-12-26,8,2,0,17,0:29:38,0:51:53,1:21:31,25,65,0,1,0,1
2023-01-06,3,9,-1,9,0:20:50,0:28:04,0:48:54,20,33,0,1,0,1
2023-01-06,6,11,-3,31,0:20:00,0:21:00,0:41:00,23,33,0,1,0,1
2023-01-06,16,12,-6,19,0:17:00,0:17:00,0:34:00,18,18,0,1,0,1
2023-01-17,19,17,-5,29,0:07:02,0:13:17,0:20:19,12,19,0,1,0,1
2023-01-17,19,20,-2,33,0:15:01,0:20:32,0:35:33,12,30,0,1,0,1
